City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Longyearbyen,SJ,78.22,15.64,46.4,75,75,9.17,shower rain,0.0,0
72,Richards Bay,ZA,-28.78,32.04,75.54,42,0,14.14,clear sky,0.0,0
73,Port Alfred,ZA,-33.59,26.89,61.0,91,53,24.45,broken clouds,0.0,0
74,Hambantota,LK,6.12,81.12,80.78,80,97,15.48,overcast clouds,0.0,0
75,Damghan,IR,36.17,54.35,77.76,45,31,3.65,scattered clouds,0.0,0
76,Gat,IL,31.61,34.76,80.01,71,0,3.62,clear sky,0.0,0
77,Bluff,NZ,-46.6,168.33,49.33,74,97,22.39,light rain,0.13,0
78,Necochea,AR,-38.55,-58.74,46.99,81,99,11.01,overcast clouds,0.0,0
79,Puerto Ayora,EC,-0.74,-90.35,72.0,84,100,5.99,overcast clouds,0.0,0
80,Changji,CN,44.02,87.32,75.2,38,11,8.95,few clouds,0.0,0
81,Tilichiki,RU,60.47,166.1,48.42,96,100,4.76,overcast clouds,0.0,0
82,Guerrero Negro,MX,27.98,-114.06,87.8,27,0,11.74,clear sky,0.0,0
83,Port Elizabeth,ZA,-33.92,25.57,60.8,87,85,9.17,overcast clouds,0.0,0
84,Shangzhi,CN,45.22,127.97,60.78,93,99,6.96,overcast clouds,0.0,0
85,Capul,PH,12.42,124.18,81.43,79,100,5.5,overcast clouds,0.0,0
86,Ambilobe,MG,-13.2,49.05,68.65,68,62,5.48,broken clouds,0.0,0
87,La Ronge,CA,55.1,-105.28,71.6,64,75,9.17,broken clouds,0.0,0
88,Cherskiy,RU,68.75,161.3,53.37,82,73,8.72,broken clouds,0.0,0
89,Arraial Do Cabo,BR,-22.97,-42.03,73.4,68,40,10.29,scattered clouds,0.0,0
90,San Quintin,MX,30.48,-115.95,77.67,51,0,12.35,clear sky,0.0,0
91,Arys,KZ,42.43,68.8,73.4,46,10,2.24,clear sky,0.0,0
